 county , total_pop , male_pop , female_pop , intersex_pop , total_households , conventional_households , group_quarters_households , land_area_sq_km , density_persons_per_sq_km ,,,
 Mombasa ," 1,208,333 "," 610,257 "," 598,046 ", 30 ," 378,422 "," 376,295 "," 2,127 ", 220 ," 5,495 ",,,
 Kwale ," 866,820 "," 425,121 "," 441,681 ", 18 ," 173,176 "," 172,802 ", 374 ," 8,254 ", 105 ,,,
 Kilifi ," 1,453,787 "," 704,089 "," 749,673 ", 25 ," 298,472 "," 297,990 ", 482 ," 12,553 ", 116 ,,,
 Tana River ," 315,943 "," 158,550 "," 157,391 ", 2 ," 68,242 "," 66,984 "," 1,258 "," 37,904 ", 8 ,,,
 Lamu ," 143,920 "," 76,103 "," 67,813 ", 4 ," 37,963 "," 34,231 "," 3,732 "," 6,283 ", 23 ,,,
 Taita/Taveta ," 340,671 "," 173,337 "," 167,327 ", 7 ," 96,429 "," 94,468 "," 1,961 "," 17,152 ", 20 ,,,
 Garissa ," 841,353 "," 458,975 "," 382,344 ", 34 ," 141,394 "," 138,940 "," 2,454 "," 44,753 ", 19 ,,,
 Wajir ," 781,263 "," 415,374 "," 365,840 ", 49 ," 127,932 "," 126,878 "," 1,054 "," 56,774 ", 14 ,,,
 Mandera ," 867,457 "," 434,976 "," 432,444 ", 37 ," 125,763 "," 123,954 "," 1,809 "," 25,942 ", 33 ,,,
 Marsabit ," 459,785 "," 243,548 "," 216,219 ", 18 ," 77,495 "," 76,689 ", 806 ," 70,944 ", 6 ,,,
 Isiolo ," 268,002 "," 139,510 "," 128,483 ", 9 ," 58,072 "," 53,217 "," 4,855 "," 25,349 ", 11 ,,,
 Meru ," 1,545,714 "," 767,698 "," 777,975 ", 41 ," 426,360 "," 423,931 "," 2,429 "," 7,014 ", 220 ,,,
 Tharaka-Nithi ," 393,177 "," 193,764 "," 199,406 ", 7 ," 109,860 "," 109,450 ", 410 ," 2,564 ", 153 ,,,
 Embu ," 608,599 "," 304,208 "," 304,367 ", 24 ," 182,743 "," 182,427 ", 316 ," 2,821 ", 216 ,,,
 Kitui ," 1,136,187 "," 549,003 "," 587,151 ", 33 ," 262,942 "," 261,814 "," 1,128 "," 30,430 ", 37 ,,,
 Machakos ," 1,421,932 "," 710,707 "," 711,191 ", 34 ," 402,466 "," 399,523 "," 2,943 "," 6,037 ", 236 ,,,
 Makueni ," 987,653 "," 489,691 "," 497,942 ", 20 ," 244,669 "," 243,979 ", 690 ," 8,177 ", 121 ,,,
 Nyandarua ," 638,289 "," 315,022 "," 323,247 ", 20 ," 179,686 "," 178,224 "," 1,462 "," 3,286 ", 194 ,,,
 Nyeri ," 759,164 "," 374,288 "," 384,845 ", 31 ," 248,050 "," 244,564 "," 3,486 "," 3,325 ", 228 ,,,
 Kirinyaga ," 610,411 "," 302,011 "," 308,369 ", 31 ," 204,188 "," 203,576 ", 612 ," 1,478 ", 413 ,,,
 Murang'A ," 1,056,640 "," 523,940 "," 532,669 ", 31 ," 318,105 "," 317,496 ", 609 ," 2,523 ", 419 ,,,
 Kiambu ," 2,417,735 "," 1,187,146 "," 1,230,454 ", 135 ," 795,241 "," 792,333 "," 2,908 "," 2,539 ", 952 ,,,
 Turkana ," 926,976 "," 478,087 "," 448,868 ", 21 ," 164,519 "," 162,627 "," 1,892 "," 68,233 ", 14 ,,,
 West Pokot ," 621,241 "," 307,013 "," 314,213 ", 15 ," 116,182 "," 115,761 ", 421 ," 9,123 ", 68 ,,,
 Samburu ," 310,327 "," 156,774 "," 153,546 ", 7 ," 65,910 "," 63,951 "," 1,959 "," 21,090 ", 15 ,,,
 Trans Nzoia ," 990,341 "," 489,107 "," 501,206 ", 28 ," 223,808 "," 222,989 ", 819 ," 2,495 ", 397 ,,,
 Uasin Gishu ," 1,163,186 "," 580,269 "," 582,889 ", 28 ," 304,943 "," 301,110 "," 3,833 "," 3,399 ", 342 ,,,
 Elgeyo/Marakwet ," 454,480 "," 227,317 "," 227,151 ", 12 ," 99,861 "," 99,119 ", 742 ," 3,032 ", 150 ,,,
 Nandi ," 885,711 "," 441,259 "," 444,430 ", 22 ," 199,426 "," 199,040 ", 386 ," 2,849 ", 311 ,,,
 Baringo ," 666,763 "," 336,322 "," 330,428 ", 13 ," 142,518 "," 141,877 ", 641 ," 10,985 ", 61 ,,,
 Laikipia ," 518,560 "," 259,440 "," 259,102 ", 18 ," 149,271 "," 145,776 "," 3,495 "," 9,508 ", 55 ,,,
 Nakuru ," 2,162,202 "," 1,077,272 "," 1,084,835 ", 95 ," 616,046 "," 598,237 "," 17,809 "," 7,505 ", 288 ,,,
 Narok ," 1,157,873 "," 579,042 "," 578,805 ", 26 ," 241,125 "," 238,115 "," 3,010 "," 17,932 ", 65 ,,,
 Kajiado ," 1,117,840 "," 557,098 "," 560,704 ", 38 ," 316,179 "," 313,218 "," 2,961 "," 21,871 ", 51 ,,,
 Kericho ," 901,777 "," 450,741 "," 451,008 ", 28 ," 206,036 "," 205,932 ", 104 ," 2,436 ", 370 ,,,
 Bomet ," 875,689 "," 434,287 "," 441,379 ", 23 ," 187,641 "," 187,230 ", 411 ," 2,507 ", 349 ,,,
 Kakamega ," 1,867,579 "," 897,133 "," 970,406 ", 40 ," 433,207 "," 432,284 ", 923 ," 3,017 ", 619 ,,,
 Vihiga ," 590,013 "," 283,678 "," 306,323 ", 12 ," 143,365 "," 143,288 ", 77 , 564 ," 1,047 ",,,
 Bungoma ," 1,670,570 "," 812,146 "," 858,389 ", 35 ," 358,796 "," 357,714 "," 1,082 "," 3,024 ", 552 ,,,
 Busia ," 893,681 "," 426,252 "," 467,401 ", 28 ," 198,152 "," 197,944 ", 208 ," 1,700 ", 526 ,,,
 Siaya ," 993,183 "," 471,669 "," 521,496 ", 18 ," 250,698 "," 249,341 "," 1,357 "," 2,530 ", 393 ,,,
 Kisumu ," 1,155,574 "," 560,942 "," 594,609 ", 23 ," 300,745 "," 296,846 "," 3,899 "," 2,085 ", 554 ,,,
 Homa Bay ," 1,131,950 "," 539,560 "," 592,367 ", 23 ," 262,036 "," 260,290 "," 1,746 "," 3,153 ", 359 ,,,
 Migori ," 1,116,436 "," 536,187 "," 580,214 ", 35 ," 240,168 "," 238,133 "," 2,035 "," 2,613 ", 427 ,,,
 Kisii ," 1,266,860 "," 605,784 "," 661,038 ", 38 ," 308,054 "," 307,254 ", 800 ," 1,323 ", 957 ,,,
 Nyamira ," 605,576 "," 290,907 "," 314,656 ", 13 ," 150,669 "," 150,499 ", 170 , 897 , 675 ,,,
 Nairobi City ," 4,397,073 "," 2,192,452 "," 2,204,376 ", 245 ," 1,506,888 "," 1,494,676 "," 12,212 ", 704 ," 6,247 ",,,
